Reference Groups;Profiles;Keywords;Description;Potential;
Social;Altruist;Congenial;The Altruist is generally a warm and friendly person, true to their name, with a genuine interest in those around them. They are a thoughtful and effective communicator, aware of others? needs and concerns, and capable of motivating or supporting people accordingly.;Optimize Altruist potential by offering support and help from the team and beyond. Give them access to subject matter experts and advisors, even those beyond their defined scope of work, so they can interact with and learn from new people regularly.;
Social;Altruist;Attentive;;;
Social;Altruist;Agreeable;;;
Social;Altruist;Considerate;;;
Social;Captian;Poised;Captains are driven and competitive, able to respond to pressure and the need to get things done quickly. They possess a strong sense of urgency, and they can make decisions with conviction while assuming responsibility for their actions.;Optimize Captain impact by giving them freedom from repetitive routines and details, allowing them to instead focus on the bigger picture. They appreciate a variety of challenges, opportunities to demonstrate their skills and abilities, and recognition and rewards for doing so.;
Social;Captian;Influential;;;
Social;Captian;Driven;;;
Social;Captian;Undaunted;;;
Social;Collaborator;Easygoing;The Collaborator is a persistent, eager teammate, with an intuitive understanding of other viewpoints and perspectives. They will regularly reach out to assess other people?s needs, and their considerate demeanor helps them develop and maintain personal relationships at work.;Getting the most out of Collaborators often means providing them with a supportive, stable environment, so they can anticipate others? needs and perspectives. They appreciate social recognition, and thrive in situations where they can express themselves and understand others;
Social;Collaborator;Approachable;;;
Social;Collaborator;Patient;;;
Social;Collaborator;Cooperative;;;
Social;Maverick;Venturesome;Mavericks can adjust quickly to changing conditions, generate novel ideas on the fly, and generally deal with fluid situations well. They are driven to get things done - and specifically, they?re focused on getting the important things done quickly.;Optimizing Maverick impact is often about creating space - through variety, new challenges, and new responsibilities. Given the freedom to demonstrate their abilities, they can flex their innovative and ingenious qualities to the benefit of the greater good;
Social;Maverick;Competitive;;;
Social;Maverick;Ambitious;;;
Social;Maverick;Restless;;;
Social;Persuader;Motivating;The Persuader is an engaging communicator who operates with a strong sense of urgency and initiative. They drive to get things done both with and through people, at ease in group settings and self-assured when meeting new people.;Optimize Persuader impact through variety, both in their projects and the people they work with. They can be influential team members when they are free from repetitive routines and can change pace relatively easily, and without too much concern for process details;
Social;Persuader;Enthusiastic;;;
Social;Persuader;Gregarious;;;
Social;Persuader;Ambitious;;;
Social;Promoter;Cheerful;Promoters intuitively understand people, and they can apply that understanding to improve working relationships. Lively and stimulating communicators, they are poised and responsive in social situations, and they have a knack for uniting people with different perspectives.;Optimize Promoter performance on a team by emphasizing variety, both in the assignments they?re given and the people they work with. They thrive in a flexible environment where they?re evaluated on results or innovative solutions, rather than the exact process followed to get there;
Social;Promoter;Informal;;;
Social;Promoter;Enthusiastic;;;
Social;Promoter;Understanding;;;
Stabilizing;Adapter;Flexible;Adapters are versatile pieces to any team puzzle, modulating and balancing as needed. They may express different behaviors or motivational needs depending on the work to be done, or the colleagues helping them do it.;Optimizing Adapter impact is often about putting them in as many different situations as possible, allowing their versatility to take broad effect. They?re adept at solving complex problems that require creative thinking, especially when surrounded by a range of people with different perspectives;
Stabilizing;Adapter;Thoughtful;;;
Stabilizing;Adapter;Even-keeled;;;
Stabilizing;Adapter;Comfortable;;;
Stabilizing;Artisan;Disciplined;Artisans are disciplined, attentive performers of their jobs. They identify problems and enjoy solving them, particularly when the problems fall clearly within their area of expertise. They enjoy working at a steady pace and leveraging that expertise for the greater good.;Artisans need ample opportunity to work within their areas of expertise, so they can ensure high-quality results. Providing detailed, thorough training is essential to maximizing the impact of their specialized work, and they tend to thrive in orderly, stable environments;
Stabilizing;Artisan;Steady;;;
Stabilizing;Artisan;Productive;;;
Stabilizing;Artisan;Dedicated;;;
Stabilizing;Guardian;Thorough;Guardians are conscientious, supportive team members who can offer critical balance and perspective. They work best when there are clear standards, expectations, and measures of success, and when they can trust leadership to set clear goals.;Guardians do best when they have opportunities to leverage their specialized knowledge on a regular basis. They may require thorough training in all aspects of the job, but can generally be counted on to develop experience and confidence in one area at a time;
Stabilizing;Guardian;Cautious;;;
Stabilizing;Guardian;Supportive;;;
Stabilizing;Guardian;Dutiful;;;
Stabilizing;Operator;Steady;Operators can be relied upon to work in a consistent and relaxed manner, and to achieve high-quality results when supported by clearly defined processes and policies.;Operators need to apply their specialized knowledge and expertise regularly. They may require thorough training in all aspects of the job, except where their established expertise lies. They appreciate some chances to interact with others, as long as those interactions occur within a supportive team environment;
Stabilizing;Operator;Focused;;;
Stabilizing;Operator;Responsible;;;
Stabilizing;Operator;Accurate;;;
